label,x_centroid,y_centroid,area,integrated_intensity,intensity_uncertainty,ellipticity,elongation,snr_approx
85,5405.456562636363,328.7749992008883,135.0,27.59516633879274,0.07065508495661699,0.2113019809891904,1.267912402333921,390.5616468473073
86,1612.9569621058297,328.8090202064281,102.0,12.790506825283726,0.0740575271335032,0.44726458329704855,1.8091838694993838,172.7104228342155
87,2805.7744405952576,329.09591018351523,61.0,8.181539251941668,0.061152919287412476,0.3247035194749308,1.4808310554535413,133.78820418186857
88,4115.537640770737,329.9737339522141,24.0,2.2338531136072475,0.032115910124970885,0.3815546664388263,1.616957790338125,69.55596478240153
89,4053.3635530667316,336.65317269694805,130.0,18.979101871879475,0.07579346663179862,0.40644471592048004,1.6847630318897602,250.40551270835957
90,4745.473938399716,336.4884798690359,50.0,4.096191440969529,0.03464349990987092,0.2783115834706653,1.385639532374776,118.23838387074761
91,5222.520008787893,338.68908072470407,125.0,18.365262809085948,0.059087354379967,0.17372894173862508,1.2102565980033024,310.8154528460749
92,4642.111550672491,338.7970384036933,41.0,3.433310409250562,0.033055636936167934,0.3124009085605576,1.4543358367541865,103.86459700898983
93,5036.530995447671,339.01032698026853,46.0,3.7669371627564683,0.03212614431767356,0.3095653790275005,1.4483630594761712,117.25456766637764
94,387.7499014235798,345.60468571916505,37.0,4.695409762438325,0.0584393571948205,0.4872526840177913,1.9502783707105704,80.34670447837303
95,2691.713204622625,353.8370583170739,78.0,11.164151719607498,0.06687538609602045,0.2844051302831965,1.3974387496597758,166.9396226524641
96,5515.344790066482,351.08751004776497,26.0,2.4432366096122293,0.03220574381948076,0.29394388599076793,1.416318023678957,75.86338087103434
97,2260.95969952873,359.0770440174069,51.0,7.716491767868765,0.0698449119085939,0.2585252037156248,1.3486635082016645,110.48037082453972
98,2707.856955110933,358.99594742534987,21.0,2.0373914472877694,0.03471372108910034,0.1660704315178817,1.1991420352442423,58.691243213551196
99,2093.7582339808278,365.8551611062254,32.0,4.128331723844973,0.055988547133088415,0.30462821973995746,1.4380796408304606,73.73528936251302
100,3185.0679127709536,368.7472562947687,53.0,6.648814420539868,0.05194275890341746,0.35455315135794363,1.5493142496611167,128.00271993450897
101,328.9047758228154,374.75626923835074,65.0,10.275746192545338,0.0825643866720912,0.4841795643813983,1.93865913590791,124.45736723456812
102,3407.3643365269572,373.4771559575643,43.0,4.624782966987907,0.04487100524182847,0.2062884376937223,1.2599035310690354,103.06840557868121
103,4413.513301361243,374.4968920786746,20.0,1.6126276188463746,0.024722481313694023,0.4809681135151169,1.926663902621569,65.22919760295761
104,5240.79661578169,377.89672847084415,67.0,6.460110247892562,0.04348355466310503,0.25453681483042767,1.3414478674389902,148.56444690281594
105,5207.39561882143,380.75181379712217,91.0,10.521494344376944,0.049519905138435946,0.16740135124683653,1.2010588793262205,212.4700020115842
106,2709.881304469532,383.5800045387597,45.0,5.24988036822851,0.0490785157014916,0.2290415087186758,1.2970866931344274,106.96901267674147
107,673.7433668065722,387.8121658551728,105.0,19.116298946703925,0.10195153965703141,0.48144987313378673,1.9284538720361775,187.50377886407435
108,5512.498606309709,387.08020661871734,29.0,2.7432842402801163,0.03378549047904874,0.19892899620931592,1.248328793912125,81.19711158200583
109,4673.570071726804,392.38544912407684,163.0,25.779062109292365,0.0628454995969569,0.14056388761129468,1.1635536203157828,410.197425028357
110,3994.034591910227,392.4312244039737,60.0,6.496292719498868,0.04724370720712234,0.22612404371098593,1.2921967556600724,137.50598976109782
111,4130.462729000537,396.23145663796396,88.0,8.658457271530038,0.05429430246868768,0.29597275175300475,1.4203995690365212,159.4726679935431
112,2913.1199819574385,402.07290306876297,208.0,60.058452571351054,0.1108426682381565,0.3087453717064029,1.4466449251393212,541.8351391750106
113,3486.191447677123,398.25630326854053,50.0,5.302557023303545,0.04503774434228581,0.2570813584959064,1.3460424118251042,117.73584802569674
114,925.1073365124711,405.0612532331491,69.0,8.636408048835944,0.07025711411982094,0.4080763115365865,1.6894069615560072,122.9257443467841
115,2008.3891889918075,405.3114106887955,87.0,13.168440314667103,0.07822750211045083,0.28692916475825814,1.4023852197811242,168.33517572981359
116,5341.134860782145,402.66812124698924,34.0,3.0990515606464384,0.03289941660622542,0.29271445869923896,1.4138561325047179,94.19776641449678
117,5107.131311743736,404.6296134252015,43.0,3.438882561700312,0.031880521964794246,0.4261541308943726,1.7426282105307458,107.86782492136986
118,3035.1724221146164,405.67892672444924,36.0,4.076872513443774,0.04341147972364586,0.2543217765334267,1.341061021402923,93.91231396388308
119,5211.268078418899,410.19450437571464,30.0,2.765722488899755,0.028420011393391512,0.33763751665558495,1.5097473440083415,97.31602322801555
120,1249.7398139198494,413.46931841985014,40.0,3.8807203967154904,0.048011962125404664,0.4046232418464517,1.6796087289354666,80.82819832647658
121,4944.9333283480755,412.8639788461783,30.0,2.320845241322345,0.025869350929359592,0.3928215423103605,1.6469622519301435,89.71408860082283
122,1339.4791628995426,418.5896590647316,47.0,4.786695937096489,0.048831798452183516,0.33758969957535134,1.5096383606337858,98.02415820878807
123,4461.449445479894,420.2318126424897,102.0,10.260621164064998,0.0562337016981178,0.16884213163387451,1.2031408689732808,182.46391139512042
124,1308.9939456078662,421.47383907274633,42.0,3.890420587282617,0.04460828854355065,0.3249800124273463,1.4814376143082253,87.21295333902883
125,2706.098953643766,424.6668237507881,107.0,16.576556947543047,0.06919604545433068,0.2605367746081153,1.3523322941043372,239.55931063262216
126,5206.4028946931985,421.7694578244697,26.0,2.1817456758858786,0.02637086565512934,0.3751934006776513,1.6004952589882657,82.73318382559475
127,2094.33827862841,422.47733156658916,30.0,2.858104735921179,0.040203329253611274,0.2211303946543337,1.2839119579665648,71.09124515264986
128,4336.562229315211,422.64902035819733,28.0,2.205317411205587,0.028276658567186044,0.31693777517897737,1.4639954658040444,77.99073592679622
129,4641.122805695988,423.3825112930054,57.0,5.094528595243303,0.03895431221202537,0.2689484916264332,1.367892670414956,130.78214723736284
130,5370.578054467908,424.76816224717896,105.0,15.952638431554321,0.05900224177079488,0.2263213477286179,1.2925262924913061,270.37342908978434
131,3023.350782211749,424.0874360627117,20.0,1.9092339157763,0.03171490251314304,0.32971890654945946,1.4919113932515973,60.19989861186206
132,2961.1285076361632,427.2306333873696,55.0,6.998931025836952,0.05441214787901118,0.259751384453784,1.3508974944345127,128.62809682498684
133,4741.247952285392,425.826056059454,37.0,2.914547630937176,0.029786797007493305,0.33922110733295274,1.5133655313410248,97.84696321004165
134,1024.3477574394612,435.620582412797,43.0,3.417398461858214,0.03931580458648435,0.4210290218588447,1.7272022912281388,86.92174808074557
